,Store,Brand,Type,Gender,Size,Color,Category,Sales.Price,Date,Time,Loyalty,Month,NA.,test
224,Tokyo,Asics,MB1878,Male,36,Black,Pants,99,7/20/15,1899-12-30 11:41:17,40100,7,30,
225,Tokyo,Asics,MB1878,Male,36,Black,Pants,99,7/20/15,1899-12-30 15:11:32,48622,7,30,
226,Tokyo,Asics,Cummulus 17,Male,37,Black,Shoe,159,7/20/15,1899-12-30 16:46:34,45289,7,30,
227,Tokyo,Asics,MB1878,Male,36,Black,Pants,99,7/20/15,1899-12-30 17:31:12,---,7,30,
228,Tokyo,Asics,WB1820,Female,44,Black,Pants,89,7/20/15,1899-12-30 19:52:20,40382,7,30,
229,Tokyo,Asics,MB1878,Male,44,Black,Pants,99,7/20/15,1899-12-30 20:15:22,44100,7,30,
230,Tokyo,Asics,Kayano Single Tab,Unisex,44-46,Black,Socks,24.99,7/20/15,1899-12-30 22:30:44,---,7,30,
231,Tokyo,Asics,MB1878,Male,45,Black,Pants,99,7/20/15,1899-12-30 22:59:32,---,7,30,
232,Tokyo,Asics,Kayano Single Tab,Unisex,36-38,Black,Socks,24.99,7/20/15,1899-12-30 10:00:33,---,7,30,
233,Rotterdam,Nike,Elite Compression,Unisex,38-40,Black,Socks,23.99,7/20/15,1899-12-30 10:08:44,31104,7,30,
234,Tokyo,Asics,MB1878,Male,37,Black,Pants,99,7/20/15,1899-12-30 10:12:00,---,7,30,
235,Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,42-44,Black,Socks,21,7/20/15,1899-12-30 11:25:39,38168,7,30,
236,Rotterdam,Nike,Dri-Fit No-Show,Unisex,42-44,Black,Socks,20,7/20/15,1899-12-30 11:30:33,---,7,30,
237,Tokyo,Asics,MB1878,Male,44,Black,Pants,99,7/20/15,1899-12-30 11:37:06,32363,7,30,
238,Tokyo,Asics,WB1820,Female,41,Black,Pants,89,7/20/15,1899-12-30 11:56:44,31242,7,30,
239,Tokyo,Asics,MB1878,Male,40,Black,Pants,99,7/20/15,1899-12-30 13:10:22,---,7,30,
240,Tokyo,Asics,MB1878,Male,39,Black,Pants,99,7/20/15,1899-12-30 14:30:33,36089,7,30,
241,Tokyo,Asics,WB2585,Female,45,Black,Pants,99,7/20/15,1899-12-30 14:58:22,---,7,30,
242,Tokyo,Asics,MB1878,Male,41,Black,Pants,99,7/20/15,1899-12-30 15:01:39,---,7,30,
243,Tokyo,Asics,WB1820,Female,43,Black,Pants,89,7/20/15,1899-12-30 15:08:11,35663,7,30,
244,Tokyo,Asics,MB1878,Male,40,Black,Pants,99,7/20/15,1899-12-30 15:27:50,36775,7,30,
245,Tokyo,Asics,Kayano Single Tab,Unisex,46-48,Black,Socks,24.99,7/20/15,1899-12-30 15:39:17,---,7,30,
246,Tokyo,Asics,WB2585,Female,46,Black,Pants,99,7/20/15,1899-12-30 16:31:39,36611,7,30,
247,Rotterdam,Nike,Elite Compression,Unisex,42-44,Black,Socks,23.99,7/20/15,1899-12-30 17:15:50,32866,7,30,
248,Tokyo,Asics,MB1878,Male,41,Black,Pants,99,7/20/15,1899-12-30 10:06:15,57791,7,30,
249,Tokyo,Asics,Hera Deux Single Tab,Female,42-44,Black,Socks,12.99,7/20/15,1899-12-30 10:56:39,54775,7,30,
250,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,44-46,Black,Socks,21,7/20/15,1899-12-30 11:38:24,57560,7,30,
251,Tokyo,Asics,MB1878,Male,45,Black,Pants,99,7/20/15,1899-12-30 13:24:58,---,7,30,
252,Tokyo,Nike,Pro Classic,Female,70D,Black,Bra,100,7/20/15,1899-12-30 13:58:05,56882,7,30,
253,Tokyo,Asics,MB1878,Male,46,Black,Pants,99,7/20/15,1899-12-30 14:34:05,58337,7,30,
254,Tokyo,Asics,Kayano Single Tab,Unisex,38-40,Black,Socks,24.99,7/20/15,1899-12-30 14:47:03,55450,7,30,
255,Tokyo,Nike,Hyper Elite Crew,Unisex,40-42,Black,Socks,20,7/20/15,1899-12-30 15:04:20,---,7,30,
256,Tokyo,Asics,Kayano Single Tab,Unisex,36-38,Black,Socks,24.99,7/20/15,1899-12-30 15:25:56,---,7,30,
257,Tokyo,Asics,MB1878,Male,42,Black,Pants,99,7/20/15,1899-12-30 19:03:22,58891,7,30,
258,Tokyo,Adidas,Rocket Boost,Male,44,Black,Shoe,110,7/20/15,1899-12-30 12:58:55,---,7,30,
259,Tokyo,Adidas,Boston 5,Male,44,Black,Shoe,125,7/20/15,1899-12-30 17:25:39,44335,7,30,
260,Tokyo,Asics,MB1878,Male,39,Black,Pants,99,7/21/15,1899-12-30 07:19:12,---,7,30,
261,Tokyo,Asics,MB1878,Male,46,Black,Pants,99,7/21/15,1899-12-30 07:45:08,---,7,30,
262,Tokyo,Nike,Pro Fierce,Female,70B,Black,Bra,149,7/21/15,1899-12-30 08:03:51,---,7,30,
263,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,44-46,Black,Socks,21,7/21/15,1899-12-30 09:31:41,---,7,30,
264,Tokyo,Asics,MB1878,Male,46,Black,Pants,99,7/21/15,1899-12-30 09:50:24,47255,7,30,
265,Tokyo,Asics,MB1878,Male,38,Black,Pants,99,7/21/15,1899-12-30 10:53:46,---,7,30,
266,Tokyo,Nike,Dri-Fit No-Show,Unisex,44-46,Black,Socks,20,7/21/15,1899-12-30 11:35:32,44958,7,30,
267,Tokyo,Asics,WB2585,Female,39,Black,Pants,99,7/21/15,1899-12-30 12:30:15,43168,7,30,
268,Tokyo,Asics,MB1878,Male,44,Black,Pants,99,7/21/15,1899-12-30 17:51:22,41317,7,30,
269,Tokyo,Asics,WB1820,Female,39,Black,Pants,89,7/21/15,1899-12-30 19:33:36,43568,7,30,
270,Tokyo,Asics,MB1878,Male,36,Black,Pants,99,7/21/15,1899-12-30 20:31:12,---,7,30,
271,Tokyo,Asics,MB1878,Male,40,Black,Pants,99,7/21/15,1899-12-30 20:49:56,---,7,30,
272,Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,38-40,Black,Socks,21,7/21/15,1899-12-30 09:37:39,---,7,30,
273,Tokyo,Asics,MB1878,Male,39,Black,Pants,99,7/21/15,1899-12-30 09:37:39,---,7,30,
274,Rotterdam,Nike,Dri-Fit No-Show,Unisex,40-42,Black,Socks,20,7/21/15,1899-12-30 09:40:55,---,7,30,
275,Tokyo,Asics,MB1878,Male,36,Black,Pants,99,7/21/15,1899-12-30 09:50:44,38666,7,30,
276,Tokyo,Asics,WB2585,Female,36,Black,Pants,99,7/21/15,1899-12-30 10:05:28,32478,7,30,
277,Tokyo,Asics,WB1820,Female,43,Black,Pants,89,7/21/15,1899-12-30 10:49:39,36598,7,30,
278,Rotterdam,Nike,Hyper Elite Crew,Unisex,40-42,Black,Socks,20,7/21/15,1899-12-30 10:54:33,---,7,30,
279,Tokyo,Asics,MB1878,Male,38,Black,Pants,99,7/21/15,1899-12-30 11:04:22,---,7,30,
280,Tokyo,Asics,Kayano Single Tab,Unisex,40-42,Black,Socks,24.99,7/21/15,1899-12-30 11:24:00,37528,7,30,
281,Tokyo,Asics,MB1878,Male,36,Black,Pants,99,7/21/15,1899-12-30 11:25:39,38503,7,30,
282,Tokyo,Asics,WB1820,Female,36,Black,Pants,89,7/21/15,1899-12-30 11:38:44,30129,7,30,
283,Tokyo,Asics,MB1878,Male,46,Black,Pants,99,7/21/15,1899-12-30 11:42:00,31750,7,30,
284,Tokyo,Asics,MB1878,Male,36,Black,Pants,99,7/21/15,1899-12-30 11:53:28,---,7,30,
285,Rotterdam,Nike,Pro Fierce,Female,85D,Black,Bra,149,7/21/15,1899-12-30 12:58:55,34350,7,30,
286,Tokyo,Asics,WB2585,Female,36,Black,Pants,99,7/21/15,1899-12-30 13:13:39,32953,7,30,
287,Tokyo,Asics,Quick Light Cushion,Unisex,46-48,Black,Socks,19,7/21/15,1899-12-30 13:21:50,35785,7,30,
288,Tokyo,Asics,MB1878,Male,41,Black,Pants,99,7/21/15,1899-12-30 13:28:22,31058,7,30,
289,Tokyo,Asics,MB1878,Male,38,Black,Pants,99,7/21/15,1899-12-30 14:01:06,33544,7,30,
290,Tokyo,Asics,MB1878,Male,41,Black,Pants,99,7/21/15,1899-12-30 14:10:55,33371,7,30,
291,Tokyo,Asics,Quick Light Cushion,Unisex,40-42,Black,Socks,19,7/21/15,1899-12-30 14:25:39,---,7,30,
292,Tokyo,Asics,Quick Light Cushion,Unisex,42-44,Black,Socks,19,7/21/15,1899-12-30 14:30:33,---,7,30,
293,Tokyo,Asics,Hera Deux Single Tab,Female,42-44,Black,Socks,12.99,7/21/15,1899-12-30 15:32:44,31348,7,30,
294,Rotterdam,Nike,Dri-Fit No-Show,Unisex,46-48,Black,Socks,20,7/21/15,1899-12-30 15:32:44,31348,7,30,
295,Tokyo,Asics,WB2585,Female,43,Black,Pants,99,7/21/15,1899-12-30 16:31:39,30717,7,30,
296,Tokyo,Asics,WB1820,Female,36,Black,Pants,89,7/21/15,1899-12-30 17:28:55,30057,7,30,
297,Tokyo,Asics,Cummulus 17,Male,40,Black,Shoe,159,7/21/15,1899-12-30 09:34:34,54461,7,30,
298,Tokyo,Asics,Kayano Single Tab,Unisex,40-42,Black,Socks,24.99,7/21/15,1899-12-30 10:20:39,58725,7,30,
299,Tokyo,Nike,Hyper Elite Crew,Unisex,40-42,Black,Socks,20,7/21/15,1899-12-30 10:32:10,52529,7,30,
300,Tokyo,Nike,Pro Indy,Female,75E,Black,Bra,123,7/21/15,1899-12-30 10:52:20,53877,7,30,
301,Tokyo,Nike,Pro Indy,Female,85C,Black,Bra,123,7/21/15,1899-12-30 12:23:03,54708,7,30,
302,Tokyo,Asics,MB1878,Male,38,Black,Pants,99,7/21/15,1899-12-30 13:45:08,53603,7,30,
303,Tokyo,Asics,MB1878,Male,43,Black,Pants,99,7/21/15,1899-12-30 14:13:56,---,7,30,
304,Tokyo,Asics,MB1878,Male,46,Black,Pants,99,7/21/15,1899-12-30 14:29:46,58741,7,30,
305,Tokyo,Asics,Nimbus 17,Male,41,Black,Shoe,128,7/21/15,1899-12-30 14:31:12,57949,7,30,
306,Tokyo,Asics,MB1878,Male,43,Black,Pants,99,7/21/15,1899-12-30 16:24:58,50860,7,30,
307,Tokyo,Asics,Quick Light Cushion,Unisex,42-44,Black,Socks,19,7/21/15,1899-12-30 16:58:05,54840,7,30,
308,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,44-46,Black,Socks,21,7/21/15,1899-12-30 17:28:20,---,7,30,
309,Tokyo,Nike,Pro Fierce,Female,80B,Black,Bra,149,7/21/15,1899-12-30 17:29:46,55313,7,30,
310,Tokyo,Asics,MB1878,Male,40,Black,Pants,99,7/21/15,1899-12-30 18:21:36,55987,7,30,
311,Tokyo,Nike,Hyper Elite Crew,Unisex,40-42,Black,Socks,20,7/21/15,1899-12-30 19:04:48,55120,7,30,
312,Tokyo,Asics,MB1878,Male,38,Black,Pants,99,7/21/15,1899-12-30 20:58:34,---,7,30,
313,Tokyo,Asics,MB1878,Male,37,Black,Pants,99,7/21/15,1899-12-30 21:01:27,53582,7,30,
314,Tokyo,Asics,MB1878,Male,43,Black,Pants,99,7/21/15,1899-12-30 21:12:58,---,7,30,
315,Tokyo,Asics,WB1820,Female,44,Black,Pants,89,7/21/15,1899-12-30 23:09:36,57454,7,30,
316,Tokyo,Adidas,Ultra Boost,Female,40,Black,Shoe,139,7/21/15,1899-12-30 12:32:44,57427,7,30,
317,Tokyo,Adidas,Boston 5,Female,38,Black,Shoe,120,7/21/15,1899-12-30 11:07:39,---,7,30,
318,Tokyo,Asics,MB1878,Male,36,Black,Pants,99,7/22/15,1899-12-30 08:38:24,---,7,30,
319,Tokyo,Asics,MB1878,Male,44,Black,Pants,99,7/22/15,1899-12-30 08:45:36,43741,7,30,
320,Tokyo,Asics,MB1878,Male,36,Black,Pants,99,7/22/15,1899-12-30 12:01:27,---,7,30,
321,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,42-44,Black,Socks,21,7/22/15,1899-12-30 13:22:05,46040,7,30,
322,Tokyo,Asics,WB1820,Female,43,Black,Pants,89,7/22/15,1899-12-30 13:32:10,---,7,30,
323,Tokyo,Asics,MB1878,Male,41,Black,Pants,99,7/22/15,1899-12-30 14:41:17,40951,7,30,
324,Tokyo,Asics,Hera Deux Single Tab,Female,42-44,Black,Socks,12.99,7/22/15,1899-12-30 16:52:20,---,7,30,
325,Tokyo,Asics,Kayano Single Tab,Unisex,44-46,Black,Socks,24.99,7/22/15,1899-12-30 16:58:05,42714,7,30,
326,Tokyo,Asics,Kayano Single Tab,Unisex,36-38,Black,Socks,24.99,7/22/15,1899-12-30 19:35:03,40671,7,30,
327,Tokyo,Nike,Pro Hero,Female,70E,Black,Bra,99,7/22/15,1899-12-30 20:41:17,40950,7,30,
328,Tokyo,Asics,Kayano Single Tab,Unisex,38-40,Black,Socks,24.99,7/22/15,1899-12-30 21:27:22,49696,7,30,
329,Tokyo,Asics,WB1820,Female,46,Black,Pants,89,7/22/15,1899-12-30 21:37:27,45690,7,30,
330,Tokyo,Asics,WB2585,Female,45,Black,Pants,99,7/22/15,1899-12-30 21:38:53,---,7,30,
331,Tokyo,Asics,WB1820,Female,39,Black,Pants,89,7/22/15,1899-12-30 23:00:58,46343,7,30,
332,Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,38-40,Black,Socks,21,7/22/15,1899-12-30 09:42:33,36562,7,30,
333,Tokyo,Asics,MB1878,Male,45,Black,Pants,99,7/22/15,1899-12-30 10:02:11,30826,7,30,
334,Tokyo,Asics,MB1878,Male,37,Black,Pants,99,7/22/15,1899-12-30 11:01:06,38528,7,30,
335,Tokyo,Asics,MB1878,Male,44,Black,Pants,99,7/22/15,1899-12-30 11:19:06,---,7,30,
336,Tokyo,Asics,MB1878,Male,43,Black,Pants,99,7/22/15,1899-12-30 12:08:11,34691,7,30,
337,Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,44-46,Black,Socks,21,7/22/15,1899-12-30 12:16:22,35424,7,30,
338,Tokyo,Asics,WB1820,Female,36,Black,Pants,89,7/22/15,1899-12-30 12:37:39,32627,7,30,
339,Tokyo,Asics,MB1878,Male,46,Black,Pants,99,7/22/15,1899-12-30 13:00:33,---,7,30,
340,Tokyo,Asics,MB1878,Male,40,Black,Pants,99,7/22/15,1899-12-30 13:03:50,33782,7,30,
341,Tokyo,Asics,MB1878,Male,37,Black,Pants,99,7/22/15,1899-12-30 13:18:33,35439,7,30,
342,Rotterdam,Nike,Elite Compression,Unisex,40-42,Black,Socks,23.99,7/22/15,1899-12-30 13:18:33,35439,7,30,
343,Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,42-44,Black,Socks,21,7/22/15,1899-12-30 14:07:39,33348,7,30,
344,Rotterdam,Asics,MB1878,Male,36,Black,Pants,99,7/22/15,1899-12-30 14:42:00,36082,7,30,
345,Rotterdam,Asics,MB1878,Male,42,Black,Pants,99,7/22/15,1899-12-30 14:51:50,---,7,30,
346,Rotterdam,Asics,Gel Quantics ,Male,45,Black,Shoe,120,7/22/15,1899-12-30 14:56:44,36202,7,30,
347,Rotterdam,Asics,Hera Deux Single Tab,Female,38-40,Black,Socks,12.99,7/22/15,1899-12-30 15:19:39,39331,7,30,
348,Rotterdam,Asics,MB1878,Male,43,Black,Pants,99,7/22/15,1899-12-30 16:30:00,---,7,30,
349,Rotterdam,Asics,MB1878,Male,46,Black,Pants,99,7/22/15,1899-12-30 16:39:50,---,7,30,
350,Rotterdam,Nike,Pro Indy,Female,90D,Black,Bra,123,7/22/15,1899-12-30 17:17:28,31781,7,30,
351,Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,46-48,Black,Socks,21,7/22/15,1899-12-30 17:32:11,32387,7,30,
352,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,36-38,Black,Socks,21,7/22/15,1899-12-30 09:20:10,59906,7,30,
353,Tokyo,Asics,MB1878,Male,36,Black,Pants,99,7/22/15,1899-12-30 11:38:24,---,7,30,
354,Tokyo,Asics,MB1878,Male,37,Black,Pants,99,7/22/15,1899-12-30 13:01:56,52282,7,30,
355,Tokyo,Asics,WB1820,Female,44,Black,Pants,89,7/22/15,1899-12-30 14:31:12,57135,7,30,
356,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,38-40,Black,Socks,21,7/22/15,1899-12-30 15:37:27,52829,7,30,
357,Tokyo,Asics,Kayano Single Tab,Unisex,46-48,Black,Socks,24.99,7/22/15,1899-12-30 16:58:05,---,7,30,
358,Tokyo,Asics,Kayano Single Tab,Unisex,40-42,Black,Socks,24.99,7/22/15,1899-12-30 18:04:20,---,7,30,
359,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,44-46,Black,Socks,21,7/22/15,1899-12-30 22:35:03,53802,7,30,
360,Tokyo,Asics,MB1878,Male,44,Black,Pants,99,7/22/15,1899-12-30 23:06:44,51866,7,30,
361,Tokyo,Nike,Pro Fierce,Female,85D,Black,Bra,149,7/22/15,1899-12-30 23:16:48,57422,7,30,
362,Tokyo,Adidas,Rocket Boost,Male,44,Black,Shoe,110,7/22/15,1899-12-30 13:52:55,58778,7,30,
363,Tokyo,Adidas,Rocket Boost,Male,45,Black,Shoe,110,7/22/15,1899-12-30 15:34:22,---,7,30,
364,Tokyo,Adidas,Rocket Boost,Female,45,Black,Shoe,100,7/22/15,1899-12-30 13:44:44,56199,7,30,
365,Tokyo,Adidas,Rocket Boost,Male,43,Black,Shoe,110,7/22/15,1899-12-30 11:09:17,54128,7,30,
366,Tokyo,Adidas,Rocket Boost,Female,42,Black,Shoe,100,7/22/15,1899-12-30 11:20:44,44656,7,30,
367,Tokyo,Asics,MB1878,Male,45,Black,Pants,99,7/23/15,1899-12-30 09:31:41,47275,7,30,
368,Tokyo,Asics,WB1820,Female,46,Black,Pants,89,7/23/15,1899-12-30 10:01:56,46889,7,30,
369,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,38-40,Black,Socks,21,7/23/15,1899-12-30 10:26:24,---,7,30,
370,Tokyo,Asics,Cummulus 17,Male,42,Black,Shoe,159,7/23/15,1899-12-30 12:40:20,---,7,30,
371,Tokyo,Asics,WB2585,Female,45,Black,Pants,99,7/23/15,1899-12-30 14:28:20,42141,7,30,
372,Tokyo,Asics,MB1878,Male,45,Black,Pants,99,7/23/15,1899-12-30 14:52:48,---,7,30,
373,Tokyo,Asics,WB2585,Female,40,Black,Pants,99,7/23/15,1899-12-30 15:31:41,48504,7,30,
374,Tokyo,Asics,Kayano Single Tab,Unisex,38-40,Black,Socks,24.99,7/23/15,1899-12-30 16:27:51,40329,7,30,
375,Tokyo,Asics,MB1878,Male,44,Black,Pants,99,7/23/15,1899-12-30 17:44:10,---,7,30,
376,Tokyo,Asics,MB1878,Male,46,Black,Pants,99,7/23/15,1899-12-30 18:47:32,---,7,30,
377,Tokyo,Asics,WB2585,Female,38,Black,Pants,99,7/23/15,1899-12-30 18:56:10,---,7,30,
378,Tokyo,Asics,Nimbus 17,Male,39,Black,Shoe,128,7/23/15,1899-12-30 19:30:44,40684,7,30,
379,Tokyo,Asics,MB1878,Male,40,Black,Pants,99,7/23/15,1899-12-30 19:56:39,42729,7,30,
380,Tokyo,Asics,MB1878,Male,42,Black,Pants,99,7/23/15,1899-12-30 20:16:48,46635,7,30,
381,Tokyo,Adidas,Boston 5,Male,37,Black,Shoe,120,7/23/15,1899-12-30 21:15:51,45617,7,30,
382,Tokyo,Asics,WB2585,Female,36,Black,Pants,99,7/23/15,1899-12-30 21:31:41,---,7,30,
383,Tokyo,Asics,Quick Light Cushion,Unisex,42-44,Black,Socks,19,7/23/15,1899-12-30 21:33:08,---,7,30,
384,Tokyo,Asics,Quick Light Cushion,Unisex,42-44,Black,Socks,19,7/23/15,1899-12-30 21:59:03,44400,7,30,
385,Tokyo,Asics,Hera Deux Single Tab,Female,42-44,Black,Socks,12.99,7/23/15,1899-12-30 22:19:12,47135,7,30,
386,Tokyo,Asics,WB1820,Female,40,Black,Pants,89,7/23/15,1899-12-30 22:20:39,48602,7,30,
387,Tokyo,Asics,MB1878,Male,42,Black,Pants,99,7/23/15,1899-12-30 23:18:15,44900,7,30,
388,Tokyo,Nike,Dri-Fit No-Show,Unisex,44-46,Black,Socks,20,7/23/15,1899-12-30 23:57:08,---,7,30,
389,Rotterdam,Asics,MB1878,Male,39,Black,Pants,99,7/23/15,1899-12-30 10:13:39,38392,7,30,
390,Rotterdam,Asics,Kayano Single Tab,Unisex,38-40,Black,Socks,24.99,7/23/15,1899-12-30 11:04:22,33794,7,30,
391,Rotterdam,Asics,MB1878,Male,45,Black,Pants,99,7/23/15,1899-12-30 11:24:00,38646,7,30,
392,Rotterdam,Asics,WB2585,Female,39,Black,Pants,99,7/23/15,1899-12-30 11:30:33,39834,7,30,
393,Rotterdam,Asics,MB1878,Male,42,Black,Pants,99,7/23/15,1899-12-30 12:26:11,---,7,30,
394,Rotterdam,Asics,MB1878,Male,37,Black,Pants,99,7/23/15,1899-12-30 12:58:55,35910,7,30,
395,Rotterdam,Nike,Air Zoom,Female,46,Black,Shoe,230,7/23/15,1899-12-30 13:21:50,31759,7,30,
396,Rotterdam,Asics,MB1878,Male,46,Black,Pants,99,7/23/15,1899-12-30 13:23:28,---,7,30,
397,Rotterdam,Asics,MB1878,Male,38,Black,Pants,99,7/23/15,1899-12-30 14:55:06,37540,7,30,
398,Rotterdam,Nike,Hyper Elite Crew,Unisex,42-44,Black,Socks,20,7/23/15,1899-12-30 15:26:11,---,7,30,
399,Rotterdam,Asics,MB1878,Male,43,Black,Pants,99,7/23/15,1899-12-30 15:57:17,---,7,30,
400,Rotterdam,Asics,MB1878,Male,40,Black,Pants,99,7/23/15,1899-12-30 16:25:06,30500,7,30,
401,Tokyo,Asics,Kayano Single Tab,Unisex,38-40,Black,Socks,24.99,7/23/15,1899-12-30 08:28:20,58416,7,30,
402,Tokyo,Asics,MB1878,Male,39,Black,Pants,99,7/23/15,1899-12-30 09:53:17,56456,7,30,
403,Tokyo,Nike,Pro Fierce,Female,75B,Black,Bra,149,7/23/15,1899-12-30 10:22:05,---,7,30,
404,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,38-40,Black,Socks,21,7/23/15,1899-12-30 15:18:44,---,7,30,
405,Tokyo,Nike,Dri-Fit No-Show,Unisex,36-38,Black,Socks,20,7/23/15,1899-12-30 15:23:03,58238,7,30,
406,Tokyo,Nike,Free 5.0,Female,38,Black,Shoe,239,7/23/15,1899-12-30 19:43:41,54086,7,30,
407,Tokyo,Asics,WB1820,Female,39,Black,Pants,89,7/23/15,1899-12-30 20:05:17,58539,7,30,
408,Tokyo,Adidas,Boston 5,Male,39,Black,Shoe,125,7/23/15,1899-12-30 17:28:55,51453,7,30,
409,Tokyo,Asics,WB2585,Female,40,Black,Pants,99,7/24/15,1899-12-30 07:16:20,42459,7,30,
410,Tokyo,Nike,Hyper Elite Crew,Unisex,44-46,Black,Socks,20,7/24/15,1899-12-30 07:36:29,---,7,30,
411,Tokyo,Asics,WB2585,Female,36,Black,Pants,99,7/24/15,1899-12-30 08:02:24,44423,7,30,
412,Tokyo,Asics,Kayano Single Tab,Unisex,42-44,Black,Socks,24.99,7/24/15,1899-12-30 09:41:46,47262,7,30,
413,Tokyo,Asics,WB1820,Female,44,Black,Pants,89,7/24/15,1899-12-30 12:57:36,48841,7,30,
414,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,40-42,Black,Socks,21,7/24/15,1899-12-30 13:14:53,41471,7,30,
415,Tokyo,Asics,WB2585,Female,46,Black,Pants,99,7/24/15,1899-12-30 13:19:12,---,7,30,
416,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,40-42,Black,Socks,21,7/24/15,1899-12-30 14:26:53,41144,7,30,
417,Tokyo,Asics,MB1878,Male,46,Black,Pants,99,7/24/15,1899-12-30 16:06:15,45147,7,30,
418,Tokyo,Asics,MB1878,Male,40,Black,Pants,99,7/24/15,1899-12-30 16:16:20,44091,7,30,
419,Tokyo,Asics,MB1878,Male,41,Black,Pants,99,7/24/15,1899-12-30 16:27:51,47734,7,30,
420,Tokyo,Asics,MB1878,Male,42,Black,Pants,99,7/24/15,1899-12-30 17:25:27,46676,7,30,
421,Tokyo,Asics,MB1878,Male,46,Black,Pants,99,7/24/15,1899-12-30 18:08:39,47028,7,30,
422,Tokyo,Asics,MB1878,Male,42,Black,Pants,99,7/24/15,1899-12-30 18:08:39,---,7,30,
423,Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,44-46,Black,Socks,21,7/24/15,1899-12-30 18:48:58,---,7,30,
424,Tokyo,Asics,Quick Light Cushion,Unisex,44-46,Black,Socks,19,7/24/15,1899-12-30 19:30:44,42602,7,30,
425,Tokyo,Asics,Quick Light Cushion,Unisex,46-48,Black,Socks,19,7/24/15,1899-12-30 20:26:53,43904,7,30,
426,Tokyo,Asics,WB1820,Female,44,Black,Pants,89,7/24/15,1899-12-30 22:19:12,---,7,30,
427,Rotterdam,Asics,WB2585,Female,39,Black,Pants,99,7/24/15,1899-12-30 09:39:17,---,7,30,
428,Rotterdam,Asics,Quick Light Cushion,Unisex,46-48,Black,Socks,19,7/24/15,1899-12-30 09:55:39,---,7,30,
429,Rotterdam,Asics,MB1878,Male,41,Black,Pants,99,7/24/15,1899-12-30 10:34:55,33842,7,30,
430,Rotterdam,Nike,Pro Fierce,Female,80F,Black,Bra,149,7/24/15,1899-12-30 10:36:33,---,7,30,
431,Rotterdam,Asics,WB2585,Female,46,Black,Pants,99,7/24/15,1899-12-30 11:09:17,39566,7,30,
432,Rotterdam,Asics,Quick Light Cushion,Unisex,38-40,Black,Socks,19,7/24/15,1899-12-30 11:14:11,31114,7,30,
433,Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,46-48,Black,Socks,21,7/24/15,1899-12-30 11:17:28,---,7,30,
434,Rotterdam,Asics,MB1878,Male,46,Black,Pants,99,7/24/15,1899-12-30 12:01:39,32148,7,30,
435,Rotterdam,Nike,Pro Fierce,Female,80C,Black,Bra,149,7/24/15,1899-12-30 12:03:17,32870,7,30,
436,Rotterdam,Asics,MB1878,Male,36,Black,Pants,99,7/24/15,1899-12-30 12:13:06,32189,7,30,
437,Rotterdam,Asics,Hera Deux Single Tab,Female,38-40,Black,Socks,12.99,7/24/15,1899-12-30 12:13:06,32189,7,30,
438,Rotterdam,Asics,WB1820,Female,46,Black,Pants,89,7/24/15,1899-12-30 12:18:00,---,7,30,
439,Rotterdam,Asics,MB1878,Male,41,Black,Pants,99,7/24/15,1899-12-30 12:26:11,33313,7,30,
440,Rotterdam,Asics,WB1820,Female,42,Black,Pants,89,7/24/15,1899-12-30 12:31:06,38665,7,30,
441,Rotterdam,Asics,MB1878,Male,46,Black,Pants,99,7/24/15,1899-12-30 13:10:22,33061,7,30,
442,Rotterdam,Asics,MB1878,Male,40,Black,Pants,99,7/24/15,1899-12-30 13:28:22,36444,7,30,
443,Rotterdam,Nike,Dri-Fit No-Show,Unisex,44-46,Black,Socks,20,7/24/15,1899-12-30 14:24:00,36220,7,30,
444,Rotterdam,Asics,WB2585,Female,41,Black,Pants,99,7/24/15,1899-12-30 14:28:55,36589,7,30,
445,Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,36-38,Black,Socks,21,7/24/15,1899-12-30 15:00:00,30368,7,30,
446,Rotterdam,Asics,Quick Light Cushion,Unisex,44-46,Black,Socks,19,7/24/15,1899-12-30 15:42:33,31412,7,30,
